designation,ra,dec,j_m
19411800-6249390,295.325013,-62.827511,6.304
19204107-6157502,290.171166,-61.96397,6.976
19215110-6308050,290.462918,-63.134727,6.152
19232557-6238476,290.856575,-62.64658,6.512
19254337-6211123,291.430728,-62.186768,6.687
19263808-6219558,291.658695,-62.33218,6.585
19283090-6221298,292.128784,-62.358299,6.526
19240934-6213108,291.038934,-62.219673,6.372
19230895-6341274,290.787294,-63.690956,6.52
19241262-6259536,291.052591,-62.998238,5.739
19233651-6311310,290.902157,-63.191952,6.892
19272741-6312580,291.864214,-63.216118,6.878
19262313-6313479,291.596415,-63.22998,6.893
19292108-6247173,292.337873,-62.788166,6.373
19330687-6308498,293.278662,-63.147175,6.313
18513484-6053448,282.895182,-60.895779,6.797
18514650-6033255,282.943764,-60.557091,6.746
18545432-6128394,283.726357,-61.477638,6.429
18535880-6057540,283.495034,-60.965027,6.814
18533638-6233021,283.401614,-62.550602,6.983
19170909-6148515,289.287891,-61.814323,6.658
19143626-6153077,288.651106,-61.885483,6.979
19050479-6130277,286.269977,-61.50771,5.948
19052084-6204382,286.33684,-62.077282,6.382
19111230-6157010,287.801274,-61.950279,5.957
19093686-6158128,287.403585,-61.970245,6.846
19093924-6142249,287.413525,-61.70694,6.803
19085647-6142081,287.235306,-61.702263,6.94
19004138-6115254,285.172448,-61.257072,5.887
19025721-6115579,285.738379,-61.266102,6.766
19015734-6148128,285.488943,-61.803574,6.717
19024860-6446080,285.702523,-64.768906,6.583
19023725-6455314,285.655212,-64.9254,6.479
18565170-6403207,284.215455,-64.055771,6.138
18591617-6415344,284.817378,-64.259575,5.794
19040601-6347046,286.025065,-63.784618,6.923
19001594-6331361,285.066454,-63.526711,6.116
19031993-6433435,285.833062,-64.562096,6.645
19051066-6321171,286.294452,-63.354759,6.504
19030287-6254001,285.761993,-62.90004,5.857
19060020-6300529,286.500873,-63.014706,6.353
19025253-6308586,285.718883,-63.14962,6.999
19183932-6409248,289.663838,-64.156891,6.763
19194744-6253497,289.947672,-62.897141,6.759
19192165-6252313,289.840223,-62.875366,5.954
19181558-6251263,289.564946,-62.85733,6.824
19134462-6234501,288.435955,-62.580593,6.76
19160546-6223363,289.022787,-62.393429,6.17
19163361-6312405,289.140068,-63.211254,6.266
18005351-5624130,270.222971,-56.403622,6.856
18034172-5720093,270.923837,-57.335918,6.247
18021775-5724421,270.573976,-57.411709,6.372
18062953-5834153,271.623077,-58.570942,6.92
18003172-5755056,270.132191,-57.918247,6.716
18012895-5802535,270.370664,-58.048199,5.946
18033685-5818103,270.903549,-58.302868,6.638
18034331-5837450,270.930459,-58.629192,6.259
18203058-5818353,275.127418,-58.309818,6.616
18191566-5807099,274.815287,-58.119427,5.959
18200192-5812518,275.008006,-58.214397,6.08
18150867-5751157,273.786147,-57.854366,6.462
18115538-5811258,272.980777,-58.190514,5.885
18121665-5824292,273.069403,-58.408123,6.334
18141325-5818526,273.555229,-58.314621,6.563
18151680-5802218,273.820002,-58.039398,6.775
18142802-5804292,273.616773,-58.074802,6.475
18010749-5744047,270.281234,-57.734661,6.958
18072451-5748202,271.852143,-57.805618,6.72
18061880-5741441,271.57834,-57.695591,6.216
18011578-6138056,270.315768,-61.634892,6.581
18074039-6113564,271.918305,-61.232346,6.83
18064696-6140419,271.695674,-61.678318,6.417
18043881-6128473,271.161746,-61.479828,6.437
18181191-6122458,274.549663,-61.379414,6.932
18151574-6113479,273.815619,-61.229996,6.331
18133558-6112573,273.398269,-61.215919,6.636
18181865-6112311,274.577748,-61.208664,5.628
18030959-6010096,270.789991,-60.169334,5.988
18061938-6013264,271.580768,-60.224014,6.061
18115527-6039072,272.980329,-60.652027,6.822
18102020-6041005,272.584198,-60.683479,6.895
18092493-6022116,272.35391,-60.3699,5.866
18074113-6104062,271.92138,-61.06839,6.905
18373796-6029008,279.408205,-60.483559,6.54
18381723-6030156,279.571795,-60.504341,6.862
18382879-6013285,279.619989,-60.224586,6.781
18270968-6029280,276.790355,-60.491116,6.948
18284943-6036346,277.20598,-60.609638,5.752
18315618-5933450,277.984101,-59.5625,6.921
18330811-5936010,278.283833,-59.600285,6.819
18312029-5955072,277.834552,-59.918686,6.207
18305324-5959285,277.721863,-59.991253,6.838
18230446-6044572,275.768592,-60.749229,6.322
18202063-6008581,275.085971,-60.14949,6.68
18214794-6000553,275.44979,-60.015388,6.587
18150440-6022372,273.768353,-60.37701,6.766
18191846-5845027,274.826937,-58.750751,6.185
18215709-5850101,275.487888,-58.836166,6.819
18142012-5842212,273.583873,-58.705902,5.903
18234125-5922141,275.92191,-59.37059,6.915
18180348-5909281,274.51453,-59.157829,6.818
18185508-5843391,274.729527,-58.727543,6.201
18041910-5926208,271.079604,-59.439114,6.6
18044259-5912344,271.177479,-59.209568,5.806
12460461-3145475,191.519211,-31.76321,6.438
12573667-3218011,194.40281,-32.300316,6.278
12560148-3128555,194.006208,-31.482092,6.804
12525953-3151258,193.24806,-31.85717,6.274
12511809-3159025,192.825414,-31.984032,6.809
12505605-3119186,192.733581,-31.321838,6.139
12515060-3112069,192.960841,-31.20192,6.946
12531977-3120559,193.332413,-31.348877,6.395
12352803-3433102,188.866798,-34.55286,6.353
12345254-3351508,188.718937,-33.86412,5.917
12414732-3455417,190.447186,-34.928257,6.829
12425743-3417456,190.7393,-34.296001,6.051
12424759-3434305,190.698298,-34.575165,6.512
12381865-3404472,189.577737,-34.0798,5.75
12501967-3336364,192.58197,-33.61013,5.947
12415503-3227128,190.479314,-32.453568,6.5
12365336-3210316,189.222372,-32.175461,5.729
12300348-3203346,187.514512,-32.059635,5.819
12341178-3205339,188.549118,-32.092766,6.601
12332948-3227127,188.372853,-32.453541,6.661
12320440-3232016,188.018338,-32.533798,6.047
12340558-3229201,188.523274,-32.488922,6.397
12350508-3315585,188.77117,-33.26627,6.99
12355665-3309339,188.98606,-33.159428,5.85
12502018-3034375,192.584111,-30.577095,6.546
12441949-2929537,191.081223,-29.498276,6.727
12424867-3057304,190.702803,-30.958458,6.707
12424758-3056483,190.698284,-30.946768,5.758
12294880-2918432,187.453355,-29.312,5.897
12305540-3040391,187.730855,-30.677544,6.851
12392420-2932127,189.850845,-29.536863,6.796
12352789-3018313,188.866222,-30.308716,6.987
12353514-3005048,188.89643,-30.084682,6.281
12340562-3009368,188.523452,-30.160242,6.535
12314881-3155010,187.953384,-31.916956,6.66
12330355-3138420,188.264813,-31.645004,6.917
12423857-3201586,190.660725,-32.032967,6.939
12423171-3142339,190.632142,-31.709444,6.909
12405977-3144165,190.249046,-31.73794,5.855
12372482-3132143,189.353457,-31.537315,6.196
14585640-0020335,224.735003,-0.342661,6.326
14510254-0001363,222.760601,-0.026769,6.732
14534984-0024201,223.457688,-0.4056,5.764
14473273-0016533,221.886378,-0.281478,6.712
14400548-0104186,220.022844,-1.071858,6.933
14420877-0451087,220.536583,-4.852441,6.989
14473845-0358254,221.910239,-3.973744,6.301
14445156-0303435,221.214838,-3.062105,6.192
14443059-0321478,221.127484,-3.363285,6.811
14405921-0250408,220.246723,-2.844686,6.207
14445438-0217078,221.226591,-2.285524,6.697
14434643-0230198,220.943493,-2.505517,6.782
14462705-0126489,221.612709,-1.44693,6.172
14485409-0050514,222.225411,-0.847627,6.152
14234114-0044575,215.921439,-0.749324,6.725
14224639-0038137,215.693294,-0.637161,6.565
14193488-0509041,214.895335,-5.151139,6.089
14211895-0439325,215.328997,-4.659036,6.075
14211937-0512560,215.330713,-5.215572,5.987
14271291-0324175,216.803827,-3.404888,6.382
14241024-0354165,216.042695,-3.904594,6.894
14332427-0013098,218.351132,-0.219399,6.782
14320318-0147202,218.013289,-1.78897,6.771
14272000-0144206,216.833348,-1.739073,5.748
14263764-0105103,216.656836,-1.086203,6.852
14215857-0159171,215.494068,-1.9881,6.438
14210584-0229507,215.274374,-2.497444,6.913
14244082-1140108,216.170115,-11.669693,5.707
14241467-1048010,216.061154,-10.800302,6.747
14293129-1033599,217.380414,-10.566654,6.111
14273030-1012178,216.876291,-10.204958,6.383
14400447-0656284,220.018651,-6.941249,6.044
14383567-0709460,219.648651,-7.162784,6.329
14324935-0712422,218.205655,-7.211728,6.744
14352545-0821323,218.856063,-8.358999,6.824
14231016-0613564,215.792366,-6.232359,6.489
14245570-0810100,216.232098,-8.169456,5.918
14272438-0607133,216.851619,-6.120362,5.977
14272118-0634167,216.838254,-6.571309,6.914
14240764-0704258,216.031834,-7.073861,6.618
14244611-0710106,216.192142,-7.169623,6.037
14321953-0732212,218.081414,-7.539233,5.739
14300831-0704177,217.534665,-7.071588,6.289
14304779-0838465,217.699142,-8.646269,6.616
14281009-0845250,217.042052,-8.756965,6.18
14275012-0542112,216.958869,-5.703116,6.433
14260689-0427179,216.52872,-4.454997,6.359
14284180-0442440,217.174206,-4.712226,6.524
14263196-0529237,216.633175,-5.489926,6.778
14392528-0601249,219.855373,-6.023596,6.918
14383342-0541479,219.639272,-5.696658,5.892
14390008-0547134,219.750372,-5.78707,5.999
14365371-0416445,219.223793,-4.279033,6.484
14352718-0549584,218.863276,-5.832901,6.87
14354370-0515578,218.93209,-5.26607,5.435
14362124-0505466,219.088537,-5.096291,6.816
14340868-0128569,218.536182,-1.482495,6.98
14351697-0059324,218.82072,-0.992347,6.315
14374691-0322152,219.445469,-3.370905,6.561
14370866-0353320,219.286117,-3.892246,5.45
14361050-0346516,219.043759,-3.781004,6.59
14304242-0306341,217.676757,-3.109475,5.842
14303053-0403546,217.627211,-4.065172,6.494
14300885-0332557,217.53689,-3.548824,6.956
14310062-0548084,217.752596,-5.80236,6.315
13314503-0114216,202.937634,-1.239356,5.864
13341632-0018499,203.568028,-0.313877,5.784
13321167-0029572,203.048641,-0.499239,6.821
13314000-0219027,202.916672,-2.31742,5.859
06353906-0252002,98.912759,-2.866733,6.672
06342480-0335503,98.603356,-3.597328,6.961
06344079-0337302,98.669965,-3.62506,6.731
06373829-0312550,99.409568,-3.215287,6.638
06380490-0302545,99.520421,-3.048481,6.803
06363969-0329176,99.165391,-3.488234,6.074
06362878-0304183,99.119921,-3.071751,6.867
06355661-0319106,98.985897,-3.319615,6.452
06393126-0307155,99.880264,-3.120984,6.852
06383016-0330256,99.625679,-3.50713,6.359
06353397-0358584,98.891573,-3.982892,6.999
06391210-0414499,99.800424,-4.247207,6.905
06384177-0343425,99.674062,-3.728487,6.158
06052704-1014334,91.362679,-10.242623,5.255
06065188-1110249,91.716202,-11.173594,6.96
06111594-0849063,92.816422,-8.818433,6.994
06091838-0907373,92.32661,-9.127028,6.849
06111557-0855166,92.814882,-8.921305,6.448
06065865-0944168,91.744404,-9.738015,6.337
06111482-0926085,92.81176,-9.435715,6.043
06095167-1012223,92.465302,-10.206196,6.764
06071692-1005119,91.820538,-10.086647,6.617
06230060-1029149,95.752503,-10.487483,6.071
06221124-1026272,95.546845,-10.440915,6.374
06201431-1043300,95.05963,-10.725009,6.509
06201707-1052557,95.071133,-10.882164,6.633
06210708-0906197,95.27953,-9.105498,6.889
06214905-0907486,95.454416,-9.130178,6.905
06204004-0953276,95.166874,-9.891008,6.581
06124380-1111224,93.182526,-11.189568,6.869
06171392-1100081,94.308007,-11.002269,6.752
06175460-1028299,94.477538,-10.474978,6.064
06180735-1014154,94.530646,-10.237632,6.696
06173513-1043298,94.396387,-10.724967,5.996
06222528-1004251,95.605356,-10.073648,6.363
06214649-1007427,95.443714,-10.128531,6.384
06184905-1032412,94.704393,-10.544786,6.718
06220742-0600266,95.530927,-6.007392,6.379
06223098-0556450,95.629094,-5.945842,6.598
06220184-0607557,95.507671,-6.132141,6.818
06180884-0649202,94.536836,-6.822301,6.428
06194389-0648465,94.93291,-6.812923,6.955
06215734-0626283,95.488951,-6.441207,6.757
06143145-0816539,93.631066,-8.28166,6.845
06223308-0822441,95.637847,-8.37894,6.985
06223673-0713272,95.653076,-7.224235,6.116
06214227-0735249,95.426138,-7.590277,6.488
06200681-0752191,95.028402,-7.87198,6.335
06220769-0752385,95.532076,-7.87737,6.051
06194280-0749223,94.928336,-7.822884,5.655
06173938-0753251,94.414111,-7.890323,6.727
06183356-0750260,94.639849,-7.840581,6.456
06201888-0708069,95.078699,-7.135274,6.535
06170719-0706242,94.279968,-7.106739,5.898
06182072-0711387,94.586339,-7.194111,6.493
06194424-0723156,94.93435,-7.387684,6.67
06194208-0742067,94.925337,-7.701879,6.782
06190793-0835096,94.783059,-8.586008,6.233
06172226-0938191,94.342772,-9.638649,6.459
06184383-0853459,94.68263,-8.8961,6.669
06200864-0850152,95.036001,-8.837561,6.227
06150389-0837377,93.766239,-8.627151,6.601
06134325-0904419,93.430219,-9.078319,6.444
06134198-0840104,93.424944,-8.669557,6.805
06113578-1001545,92.899118,-10.031806,6.581
06120504-0953236,93.021027,-9.889906,6.565
06122088-0943406,93.087041,-9.727949,6.344
06152940-0950550,93.872538,-9.848625,6.484
06160748-0935147,94.031204,-9.587443,6.446
06152614-0902087,93.858951,-9.035757,6.204
06231561-0624532,95.815068,-6.414799,6.915
06255857-0612182,96.494043,-6.205072,6.562
06242729-0621434,96.113731,-6.362075,6.759
06243082-0559173,96.128436,-5.98814,6.935
06233240-0618365,95.885009,-6.310155,6.489
06264485-0730429,96.68689,-7.51192,6.429
06260989-0733547,96.54122,-7.565221,6.283
06313013-0613383,97.875571,-6.227306,6.914
06315827-0555363,97.992818,-5.926777,6.948
06291373-0544109,97.307209,-5.736369,6.947
06294336-0618077,97.430695,-6.302151,6.275
06305336-0607205,97.722339,-6.122377,6.599
06244154-0641443,96.173099,-6.695657,6.726
06243628-0653087,96.151168,-6.885774,6.722
06273452-0626229,96.893862,-6.439718,6.962
06251473-1055548,96.311396,-10.931898,5.767
06235814-1041563,95.992274,-10.698979,6.451
06244070-1032228,96.16962,-10.53969,6.98
06324856-0852200,98.202365,-8.87224,5.935
06285886-0859416,97.245258,-8.994915,6.648
06310561-0850191,97.773402,-8.838643,6.712
06250985-0843247,96.291066,-8.723554,5.958
06251636-0907514,96.318206,-9.130955,6.627
06252186-0905281,96.34112,-9.091148,5.573
06251417-0856104,96.309045,-8.936231,6.661
06274015-0913440,96.917296,-9.228916,6.19
06282029-0949271,97.084571,-9.82421,6.692
06442077-0606186,101.086565,-6.10517,5.94
06401397-0552226,100.058239,-5.872948,6.835
06354671-0552244,98.944653,-5.873468,6.136
06361241-0548353,99.051714,-5.809815,6.091
06383090-0601000,99.628771,-6.01668,6.832
06362257-0601463,99.094047,-6.029554,6.839
06345843-0821261,98.743474,-8.357253,6.586
06365122-0713305,99.213423,-7.225153,6.643
06355008-0719433,98.958694,-7.328708,6.717
06394271-0556188,99.927995,-5.938563,6.86
06394010-0627576,99.917106,-6.466022,6.224
06373961-0628160,99.415063,-6.471138,6.6
06381901-0646459,99.579228,-6.779419,5.859
08445073-2723022,131.211412,-27.383972,6.156
08462884-2756164,131.620176,-27.937906,6.891
08404180-2852310,130.174194,-28.87529,6.638
08431432-2840510,130.80967,-28.680857,6.84
08441733-2806408,131.072222,-28.111334,6.941
08424957-2601463,130.706552,-26.029552,6.994
08381584-2638292,129.566022,-26.641445,6.248
08432246-2613122,130.843586,-26.22007,6.777
08422588-2658023,130.607842,-26.967318,6.633
08412925-2636557,130.37191,-26.615488,6.312
08400353-2629354,130.014717,-26.493187,6.908
08394769-2711361,129.948737,-27.193371,6.852
08382305-2725239,129.596045,-27.423325,6.403
08394920-2759135,129.955038,-27.987104,6.942
08414295-2744532,130.428982,-27.748133,6.773
08411355-2726275,130.306499,-27.440985,6.17
08403647-2722370,130.151971,-27.376945,6.538
08365778-3143191,129.240775,-31.721977,6.076
08351497-3117082,128.812407,-31.285624,6.171
08304262-3231554,127.677591,-32.53207,6.646
08302376-3210599,127.599038,-32.183327,6.91
08334884-3227041,128.453531,-32.451157,6.605
08314003-3150240,127.91681,-31.840023,6.656
08321441-3204362,128.060057,-32.076733,6.81
08322975-3214005,128.123964,-32.233479,6.028
08334866-3213393,128.452785,-32.227596,6.977
08293591-2915316,127.399636,-29.258795,6.914
08283748-2933336,127.156184,-29.559338,6.658
08315545-2943555,127.981052,-29.732101,6.561
08294502-3037249,127.437607,-30.623608,6.916
08282666-3001248,127.111092,-30.023556,6.706
08313682-3013032,127.903419,-30.217571,6.393
08323127-3002211,128.130329,-30.039198,6.728
08300944-2949249,127.539343,-29.823593,6.476
08202093-3213573,125.087223,-32.232586,5.723
08221563-3155166,125.565156,-31.921282,5.673
08222121-3204320,125.588401,-32.075558,6.863
08213713-3220458,125.404724,-32.346081,6.999
08265492-3228201,126.728847,-32.47226,6.461
08280998-3223088,127.041619,-32.385799,6.933
08264971-3201352,126.707127,-32.026466,5.938
08260057-3210119,126.502401,-32.169994,6.5
08263530-3215575,126.647121,-32.265995,6.513
08270415-3211005,126.76733,-32.183483,5.55
08250239-3116335,126.259978,-31.275976,6.848
08231237-3152391,125.801544,-31.877554,5.996
08240588-3159077,126.024521,-31.985479,6.912
08251076-3156245,126.294839,-31.940163,6.868
08244049-3138386,126.168722,-31.64406,6.17
08283519-3042119,127.146634,-30.703327,6.675
08292536-3219315,127.355696,-32.325439,6.498
08293565-3143285,127.39858,-31.724602,6.454
08293954-3154592,127.414752,-31.916447,6.921
08325004-3053471,128.20854,-30.896437,6.477
08321951-3107043,128.081302,-31.11787,6.717
08303914-3120262,127.663111,-31.340633,6.806
08311646-3118099,127.818618,-31.302761,6.868
08295615-3134481,127.483971,-31.580032,6.591
08301334-3131491,127.555605,-31.530323,6.211
08274937-3122446,126.955743,-31.379061,5.866
08202260-2549132,125.094192,-25.820356,6.861
08205244-2618052,125.218514,-26.301449,6.862
08253395-2629435,126.391484,-26.495428,6.787
08215602-2629509,125.483418,-26.497482,6.736
08133042-2756011,123.376759,-27.933645,6.009
08145164-2802444,123.715197,-28.045694,6.352
08203421-2825436,125.142567,-28.428783,6.111
08170588-2829505,124.274523,-28.497362,5.815
08172442-2818050,124.351791,-28.301413,6.904
08192299-2815056,124.845833,-28.251575,6.314
08171903-2655053,124.329308,-26.918139,6.766
08174505-2708212,124.437723,-27.139233,6.626
08182174-2722377,124.590621,-27.377153,5.97
08180396-2742418,124.516539,-27.711632,6.868
08164527-2751599,124.188639,-27.866646,6.285
08163668-2749452,124.152835,-27.829224,6.138
08291086-2839565,127.295254,-28.665707,5.771
08272858-2817066,126.869086,-28.285172,6.365
08275728-2835432,126.988708,-28.595341,6.855
08261756-2708421,126.573199,-27.14505,6.196
08273646-2726575,126.901953,-27.449318,6.674
08243990-2832005,126.166257,-28.533485,5.999
08251727-2758296,126.321964,-27.974915,6.933
08233178-2749206,125.882449,-27.822401,6.03
