designation,ra,dec,j_m
18345769+0920046,278.740389,9.334614,6.884
18361672+0933532,279.069674,9.564803,6.767
18371324+0903105,279.3052,9.052923,6.048
18445827+0847104,281.242809,8.786237,6.798
18435124+0837301,280.963534,8.625046,6.137
18432832+0844394,280.868034,8.74429,6.294
18443431+0839164,281.142989,8.654579,6.317
18440459+0844563,281.01916,8.748974,6.651
18405358+0941349,280.223268,9.693052,6.992
18412495+0837262,280.353996,8.623966,6.513
18404204+0853437,280.175175,8.895492,6.32
19204163-2303195,290.173473,-23.055437,6.434
19294337-2120195,292.430732,-21.338751,6.397
19292612-2118437,292.358849,-21.31214,6.367
19290468-2113335,292.269524,-21.225977,6.588
19255889-2217537,291.495378,-22.298258,6.921
19261899-2156268,291.579152,-21.940783,6.49
19275357-2135525,291.973237,-21.597942,6.494
19264332-2141253,291.680506,-21.690382,7.0
19174956-2110120,289.456513,-21.170002,6.803
19193290-2110596,289.887107,-21.183243,6.721
19195107-2118474,289.962815,-21.313179,6.827
19192107-2128092,289.837806,-21.469242,6.548
19183679-2231260,289.653322,-22.523903,6.295
19191956-2156352,289.831531,-21.94313,6.25
19231121-2114527,290.79673,-21.247974,6.83
19201521-2120166,290.063405,-21.33795,6.596
19200480-2129161,290.020037,-21.487822,6.353
19234047-2144521,290.918653,-21.747828,6.628
19213012-2231007,290.375535,-22.516886,6.136
19213598-2214468,290.39993,-22.246361,6.788
19242456-2237123,291.102371,-22.620085,6.165
19221556-2204255,290.564865,-22.073774,6.463
19395251-1809522,294.968804,-18.164507,6.669
19364116-1915166,294.171536,-19.254637,6.993
19362607-1851103,294.108661,-18.852875,5.63
19361219-1854130,294.050829,-18.903629,6.895
19371315-1844067,294.30482,-18.735201,6.352
19293675-1816049,292.403141,-18.268038,6.952
19304105-1819244,292.671078,-18.323448,5.525
19303367-1813315,292.640292,-18.225441,6.875
19323968-1836384,293.165358,-18.610687,6.966
19325313-1833286,293.221387,-18.557966,6.711
19325406-1823565,293.225263,-18.399048,6.795
19303776-1836133,292.65735,-18.603706,6.928
19312244-1828411,292.843533,-18.478107,6.577
19320681-2024011,293.028409,-20.400333,6.431
19351927-1947069,293.830301,-19.785276,6.155
19341401-2012537,293.558393,-20.214943,6.286
19355288-1923478,293.970363,-19.396637,5.8
19345641-1845590,293.735069,-18.766394,6.169
19350379-1833570,293.765826,-18.565847,6.931
19274283-2043250,291.928483,-20.723619,6.032
19274739-1846028,291.947464,-18.767467,6.478
19262434-1916575,291.601454,-19.28266,6.176
19253224-1922429,291.384344,-19.378584,6.702
19284130-1911429,292.172113,-19.195267,6.651
19280328-1920340,292.013678,-19.342796,5.803
19200968-2041581,290.040344,-20.699497,6.363
19191617-2053302,289.817402,-20.891727,6.136
19240606-2103008,291.025276,-21.050226,6.725
19235849-2102431,290.99371,-21.04533,6.804
19233229-2049272,290.884547,-20.824232,6.36
19223243-2018583,290.635126,-20.316195,6.669
19210043-2041370,290.251832,-20.693632,6.794
19220315-2031587,290.513137,-20.532984,6.739
19262576-1938370,291.607364,-19.643637,5.904
19244829-2035317,291.20123,-20.59215,6.37
19291253-1944499,292.302219,-19.747208,5.872
19274404-1950220,291.93354,-19.839449,6.486
19293119-0012143,292.379991,-0.203984,6.901
19300470-0026419,292.519593,-0.444973,6.955
19293477-0036130,292.394877,-0.603628,6.983
19250908-0121540,291.287866,-1.365004,6.176
19251125-0121441,291.296897,-1.36226,6.938
19274679-0126536,291.944959,-1.448249,6.169
19265773-0054430,291.74055,-0.911954,6.613
19295267-0104089,292.469468,-1.069149,6.955
19294021-0101067,292.41758,-1.018549,6.422
